ID,X,Y,c,n1,n2,u1,u2,inUse,Joint,midJoint
364,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
365,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
366,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
367,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
368,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
369,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
370,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
371,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
372,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
373,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
374,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
375,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
376,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
377,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
378,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
379,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
380,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
381,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
382,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
383,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
384,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
385,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
386,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
387,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
388,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
389,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
390,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
391,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
392,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
393,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
394,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
395,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
396,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
397,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
398,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
399,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
400,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
401,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
402,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
403,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
404,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
405,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
406,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
407,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
408,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
409,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
410,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
411,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
412,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
413,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
414,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
415,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
416,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
417,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
